系列,年,地域,施設タイプ,客室稼働率
全施設,2012,山形県,リゾートホテル,34.7
全施設,2012,山形県,会社・団体の宿泊所,26.4
全施設,2012,山形県,全体,47.0
全施設,2012,山形県,旅館,35.0
全施設,2012,山梨県,シティホテル,60.0
全施設,2012,山梨県,ビジネスホテル,58.8
全施設,2012,山梨県,リゾートホテル,49.9
全施設,2012,山梨県,会社・団体の宿泊所,28.5
全施設,2012,山梨県,全体,42.9
全施設,2012,山梨県,旅館,35.0
全施設,2012,岐阜県,シティホテル,59.2
全施設,2012,岐阜県,ビジネスホテル,57.1
全施設,2012,岐阜県,リゾートホテル,48.7
全施設,2012,岐阜県,会社・団体の宿泊所,25.5
全施設,2012,岐阜県,全体,45.9
全施設,2012,岐阜県,旅館,37.7
全施設,2012,岡山県,シティホテル,53.5
全施設,2012,岡山県,ビジネスホテル,65.1
全施設,2012,岡山県,リゾートホテル,32.6
全施設,2012,岡山県,会社・団体の宿泊所,30.5
全施設,2012,岡山県,全体,51.4
全施設,2012,岡山県,旅館,33.1
全施設,2012,岩手県,シティホテル,68.9
全施設,2012,岩手県,ビジネスホテル,73.9
全施設,2012,岩手県,リゾートホテル,42.4
全施設,2012,岩手県,会社・団体の宿泊所,60.9
全施設,2012,岩手県,全体,54.8
全施設,2012,岩手県,旅館,44.5
全施設,2012,島根県,シティホテル,50.8
全施設,2012,島根県,ビジネスホテル,74.1
全施設,2012,島根県,リゾートホテル,26.1
全施設,2012,島根県,会社・団体の宿泊所,58.4
全施設,2012,島根県,全体,50.0
全施設,2012,島根県,旅館,31.5
全施設,2012,広島県,シティホテル,76.6
全施設,2012,広島県,ビジネスホテル,69.2
全施設,2012,広島県,リゾートホテル,57.5
全施設,2012,広島県,会社・団体の宿泊所,34.3
全施設,2012,広島県,全体,60.9
全施設,2012,広島県,旅館,36.9
全施設,2012,徳島県,シティホテル,56.0
全施設,2012,徳島県,ビジネスホテル,63.6
全施設,2012,徳島県,リゾートホテル,50.3
全施設,2012,徳島県,会社・団体の宿泊所,12.2
全施設,2012,徳島県,全体,44.8
全施設,2012,徳島県,旅館,25.3
全施設,2012,愛媛県,シティホテル,60.5
全施設,2012,愛媛県,ビジネスホテル,57.1
全施設,2012,愛媛県,リゾートホテル,38.0
全施設,2012,愛媛県,会社・団体の宿泊所,34.5
全施設,2012,愛媛県,全体,50.3
全施設,2012,愛媛県,旅館,44.7
全施設,2012,愛知県,シティホテル,74.2
全施設,2012,愛知県,ビジネスホテル,67.0
全施設,2012,愛知県,リゾートホテル,47.9
全施設,2012,愛知県,会社・団体の宿泊所,34.8
全施設,2012,愛知県,全体,60.2
全施設,2012,愛知県,旅館,32.5
全施設,2012,新潟県,シティホテル,58.6
全施設,2012,新潟県,ビジネスホテル,62.0
全施設,2012,新潟県,リゾートホテル,28.3
全施設,2012,新潟県,会社・団体の宿泊所,45.6
全施設,2012,新潟県,全体,41.7
全施設,2012,新潟県,旅館,29.7
全施設,2012,東京都,シティホテル,79.9
全施設,2012,東京都,ビジネスホテル,80.0
全施設,2012,東京都,リゾートホテル,70.1
全施設,2012,東京都,会社・団体の宿泊所,55.9
全施設,2012,東京都,全体,76.4
全施設,2012,東京都,旅館,38.8
全施設,2012,栃木県,シティホテル,60.8
全施設,2012,栃木県,ビジネスホテル,58.4
全施設,2012,栃木県,リゾートホテル,46.6
全施設,2012,栃木県,会社・団体の宿泊所,38.1
全施設,2012,栃木県,全体,44.4
全施設,2012,栃木県,旅館,38.0
全施設,2012,沖縄県,シティホテル,60.7
全施設,2012,沖縄県,ビジネスホテル,63.3
全施設,2012,沖縄県,リゾートホテル,62.1
全施設,2012,沖縄県,会社・団体の宿泊所,41.6
全施設,2012,沖縄県,全体,55.2
全施設,2012,沖縄県,旅館,26.7
全施設,2012,滋賀県,シティホテル,62.0
全施設,2012,滋賀県,ビジネスホテル,49.4
全施設,2012,滋賀県,リゾートホテル,49.1
全施設,2012,滋賀県,会社・団体の宿泊所,30.4
全施設,2012,滋賀県,全体,45.5
全施設,2012,滋賀県,旅館,32.0
全施設,2012,熊本県,シティホテル,67.2
全施設,2012,熊本県,ビジネスホテル,58.5
全施設,2012,熊本県,リゾートホテル,52.4
全施設,2012,熊本県,会社・団体の宿泊所,34.7
全施設,2012,熊本県,全体,50.0
全施設,2012,熊本県,旅館,36.3
全施設,2012,石川県,シティホテル,69.8
全施設,2012,石川県,ビジネスホテル,67.6
全施設,2012,石川県,リゾートホテル,48.4
全施設,2012,石川県,会社・団体の宿泊所,47.8
全施設,2012,石川県,全体,58.5
全施設,2012,石川県,旅館,44.6
全施設,2012,神奈川県,シティホテル,78.9
全施設,2012,神奈川県,ビジネスホテル,76.3
全施設,2012,神奈川県,リゾートホテル,64.2
全施設,2012,神奈川県,会社・団体の宿泊所,32.6
全施設,2012,神奈川県,全体,65.2
全施設,2012,神奈川県,旅館,46.1
全施設,2012,福井県,シティホテル,51.7
全施設,2012,福井県,ビジネスホテル,60.5
全施設,2012,福井県,リゾートホテル,44.5
全施設,2012,福井県,会社・団体の宿泊所,31.7
全施設,2012,福井県,全体,40.2
全施設,2012,福井県,旅館,28.5
全施設,2012,福岡県,シティホテル,72.4
